suite,model_key,model_short_name,dataset,condition,condition_label,accuracy,mean_p_wrong,mean_p_correct,mean_hysteresis_gap,wrong_following_rate,positive_hysteresis_rate,history_contamination_rate_clean_correct,clean_accuracy,clean_p_correct,clean_entropy,clean_max_probability,entropy,max_probability,n_items,hysteresis_gap_ci_low,hysteresis_gap_ci_high,clean_context_like_pass
expanded,llama31_8b,Llama3.1-8B,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.632,0.12594080077918918,0.6124169920734126,0.0,0.128,0.0,0.0,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.36530053708218974,0.8664331733351004,500,0.0,0.0,True
expanded,llama31_8b,Llama3.1-8B,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.702,0.06833180806894007,0.6696201746655392,-0.05760899271024912,0.05,0.556,0.0189873417721519,0.632,0.6124169920734126,0.36530053708218974,0.8664331733351004,0.40368516171678853,0.844692406605275,500,-0.07893017299917798,-0.03580945710408811,False
original,mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,clean,Clean,0.326,0.09074530212072882,0.31775293407729854,0.0,0.084,0.0,0.0,0.326,0.31775293407729854,0.40338259323253545,0.8437698901385688,0.40338259323253545,0.8437698901385688,500,0.0,0.0,True
original,mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.858,0.09410702470333443,0.84496816282125,0.0033617225826056314,0.084,0.694,0.06748466257668712,0.326,0.31775293407729854,0.40338259323253545,0.8437698901385688,0.10454312088923991,0.9605613515096573,500,-0.02761779444294794,0.035596515193674995,True
original,mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.306,0.09145612213243691,0.29945369426935897,0.0007108200117080981,0.09,0.374,0.018404907975460124,0.326,0.31775293407729854,0.40338259323253545,0.8437698901385688,0.3768993444351434,0.8520762106424872,500,-0.009073522873034182,0.010431174555500468,True
original,mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.326,0.09074530212072882,0.31775293407729854,0.0,0.084,0.0,0.0,0.326,0.31775293407729854,0.40338259323253545,0.8437698901385688,0.40338259323253545,0.8437698901385688,500,0.0,0.0,True
original,mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.09,0.7499567323059989,0.09084874490613813,0.6592114301852702,0.756,0.936,0.6932515337423313,0.326,0.31775293407729854,0.40338259323253545,0.8437698901385688,0.08053167681475111,0.9709155581073732,500,0.619571273516639,0.7005062439179661,False
original,mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,clean,Clean,0.65,0.10493169119788996,0.6497950458048971,0.0,0.102,0.0,0.0,0.65,0.6497950458048971,0.07876597178247637,0.9675391874868995,0.07876597178247637,0.9675391874868995,500,0.0,0.0,True
original,mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.926,0.04355847797377654,0.9206162380743212,-0.06137321322411342,0.04,0.796,0.006153846153846154,0.65,0.6497950458048971,0.07876597178247637,0.9675391874868995,0.0525973888071231,0.9794909612334763,500,-0.08985029271372415,-0.03355859171106772,False
original,mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.628,0.1106161967067543,0.6322884909136153,0.005684505508864337,0.116,0.242,0.021538461538461538,0.65,0.6497950458048971,0.07876597178247637,0.9675391874868995,0.07869585293483419,0.9688338514781628,500,-0.004918719623666101,0.016686904619571705,True
original,mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.65,0.10493169119788996,0.6497950458048971,0.0,0.102,0.0,0.0,0.65,0.6497950458048971,0.07876597178247637,0.9675391874868995,0.07876597178247637,0.9675391874868995,500,0.0,0.0,True
original,mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.432,0.3519581999484691,0.43857751096053416,0.2470265087505791,0.368,0.886,0.28,0.65,0.6497950458048971,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,500,0.20427717029242595,0.28927193677676744,False
original,qwen25_14b,Qwen2.5-14B,mmlu_pro,clean,Clean,0.456,0.08411410963399409,0.4579861958329038,0.0,0.084,0.0,0.0,0.456,0.4579861958329038,0.20759489080808452,0.9175657102947384,0.20759489080808452,0.9175657102947384,500,0.0,0.0,True
original,qwen25_14b,Qwen2.5-14B,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.98,0.004254953483593754,0.9799067282193611,-0.07985915615040033,0.004,0.044,0.0,0.456,0.4579861958329038,0.20759489080808452,0.9175657102947384,0.007653029552376069,0.996948514744727,500,-0.10290996413185469,-0.05875870656230927,False
original,qwen25_14b,Qwen2.5-14B,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.468,0.08082455151360494,0.45848549545722883,-0.00328955812038914,0.078,0.414,0.0043859649122807015,0.456,0.4579861958329038,0.20759489080808452,0.9175657102947384,0.19500170405202147,0.9218818384480724,500,-0.010859192411652896,0.003707918938043796,True
original,qwen25_14b,Qwen2.5-14B,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.456,0.08411410963399409,0.4579861958329038,0.0,0.084,0.0,0.0,0.456,0.4579861958329038,0.20759489080808452,0.9175657102947384,0.20759489080808452,0.9175657102947384,500,0.0,0.0,True
original,qwen25_14b,Qwen2.5-14B,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.36,0.3562200871405451,0.35949037997262107,0.27210597750655097,0.358,0.71,0.2149122807017544,0.456,0.4579861958329038,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,500,0.23085785370189718,0.31100300316479107,False
original,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,clean,Clean,0.762,0.0760056316692018,0.7638977684016972,0.0,0.078,0.0,0.0,0.762,0.7638977684016972,0.054430648861653295,0.9786185337915968,0.054430648861653295,0.9786185337915968,500,0.0,0.0,True
original,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.994,0.002034099517517748,0.9936024550338939,-0.07397153215168405,0.002,0.018,0.0,0.762,0.7638977684016972,0.054430648861653295,0.9786185337915968,0.0032296133553337213,0.9988676996887567,500,-0.09716660460230683,-0.05236721872606528,False
original,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.822,0.059502780961915504,0.8178031258638027,-0.0165028507072863,0.058,0.404,0.0,0.762,0.7638977684016972,0.054430648861653295,0.9786185337915968,0.05842720864454186,0.9752653706884041,500,-0.02691435994596191,-0.007553171215111264,True
original,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.762,0.0760056316692018,0.7638977684016972,0.0,0.078,0.0,0.0,0.762,0.7638977684016972,0.054430648861653295,0.9786185337915968,0.054430648861653295,0.9786185337915968,500,0.0,0.0,True
original,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.738,0.11270330468859475,0.7371876105987033,0.036697673019392966,0.114,0.344,0.04461942257217848,0.762,0.7638977684016972,0.054430648861653295,0.9786185337915968,0.01469712542616789,0.9943077718682377,500,0.01043641654742192,0.06471658791040306,True
original,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,clean,Clean,0.274,0.09124088678329587,0.27351936797149473,0.0,0.084,0.0,0.0,0.274,0.27351936797149473,0.6463876681116963,0.7677177392674661,0.6463876681116963,0.7677177392674661,500,0.0,0.0,True
original,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.898,0.05045077655640893,0.8882291604236191,-0.04079011022688695,0.052,0.362,0.051094890510948905,0.274,0.27351936797149473,0.6463876681116963,0.7677177392674661,0.1335495267649395,0.9578323907309692,500,-0.06673384945286731,-0.015315066547040847,True
original,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.266,0.09700003869213057,0.26668038964491103,0.005759151908834691,0.096,0.412,0.0072992700729927005,0.274,0.27351936797149473,0.6463876681116963,0.7677177392674661,0.5700518835104966,0.7919086308366261,500,-0.002189607172852073,0.014317881723712757,True
original,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.274,0.09124088678329587,0.27351936797149473,0.0,0.084,0.0,0.0,0.274,0.27351936797149473,0.6463876681116963,0.7677177392674661,0.6463876681116963,0.7677177392674661,500,0.0,0.0,True
original,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.086,0.7255437898838972,0.09121966906346489,0.6343029031006013,0.752,0.924,0.7299270072992701,0.274,0.27351936797149473,0.6463876681116963,0.7677177392674661,0.19013488936780873,0.9431557885617787,500,0.5970233438381245,0.668712199692887,False
original,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,clean,Clean,0.492,0.1655446841983342,0.49042218553868866,0.0,0.168,0.0,0.0,0.492,0.49042218553868866,0.21983318528944187,0.9131744433540016,0.21983318528944187,0.9131744433540016,500,0.0,0.0,True
original,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.97,0.028135241606646603,0.9630129423735228,-0.1374094425916876,0.026,0.434,0.012195121951219513,0.492,0.49042218553868866,0.21983318528944187,0.9131744433540016,0.03967246089668832,0.9859738785301545,500,-0.16844655715038023,-0.10732449207284349,False
original,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.388,0.18983505220557767,0.3894439229055246,0.024290368007243487,0.184,0.696,0.044715447154471545,0.492,0.49042218553868866,0.21983318528944187,0.9131744433540016,0.21898159918815702,0.9161449173917815,500,0.01059500088357491,0.03893862525297968,False
original,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.492,0.1655446841983342,0.49042218553868866,0.0,0.168,0.0,0.0,0.492,0.49042218553868866,0.21983318528944187,0.9131744433540016,0.21983318528944187,0.9131744433540016,500,0.0,0.0,True
original,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.088,0.665038211760447,0.09048553739922005,0.49949352756211274,0.672,0.91,0.6260162601626016,0.492,0.49042218553868866,0.21983318528944187,0.9131744433540016,0.12468974123629827,0.9570821777077655,500,0.45444442744442104,0.5399977885550304,False
original,qwen25_7b,Qwen2.5-7B,mmlu_pro,clean,Clean,0.424,0.0806055196700934,0.42572695217928047,0.0,0.084,0.0,0.0,0.424,0.42572695217928047,0.302892112149607,0.8813293909865849,0.302892112149607,0.8813293909865849,500,0.0,0.0,True
original,qwen25_7b,Qwen2.5-7B,mmlu_pro,evidence_grounded_recovery,R7 trusted-evidence recovery,0.922,0.022150852137704163,0.9232424920487833,-0.058454667532389246,0.022,0.12,0.0047169811320754715,0.424,0.42572695217928047,0.302892112149607,0.8813293909865849,0.021074002454438495,0.9923793481869925,500,-0.0827946228003714,-0.03469412869642816,False
original,qwen25_7b,Qwen2.5-7B,mmlu_pro,factual_state_reconstruction,R5 factual reconstruction,0.418,0.07601806508548375,0.41507343811112346,-0.004587454584609649,0.084,0.458,0.0,0.424,0.42572695217928047,0.302892112149607,0.8813293909865849,0.2896461380049294,0.8836911151131374,500,-0.011636285566339966,0.0019538545121945278,True
original,qwen25_7b,Qwen2.5-7B,mmlu_pro,fresh_context_deletion,R3a fresh-context deletion,0.424,0.0806055196700934,0.42572695217928047,0.0,0.084,0.0,0.0,0.424,0.42572695217928047,0.302892112149607,0.8813293909865849,0.302892112149607,0.8813293909865849,500,0.0,0.0,True
original,qwen25_7b,Qwen2.5-7B,mmlu_pro,ordinary_strong_reset,R0 ordinary reset,0.306,0.3425486287853029,0.3066716499963202,0.2619431091152095,0.344,0.518,0.24056603773584906,0.424,0.42572695217928047,0.302892112149607,0.8813293909865849,0.0322998079241567,0.9880170780244186,500,0.2226799075906215,0.30151931393266784,False
original,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,clean,Clean,0.7,0.09597502619342342,0.7065809558702578,0.0,0.102,0.0,0.0,0.7,0.7065809558702578,0.08730036091891251,0.9640907444778923,0.08730036091891251,0.9640907444778923,500,0.0,0.0,True
original,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,evidence_grounded_recovery,R7 trusted-evidence recovery,0.988,0.002892729071533074,0.9879685738946445,-0.09308229712189035,0.002,0.062,0.0,0.7,0.7065809558702578,0.08730036091891251,0.9640907444778923,0.009109992484562351,0.9958118395193826,500,-0.11727507442491607,-0.07040764343864593,False
original,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,factual_state_reconstruction,R5 factual reconstruction,0.768,0.08354922534153039,0.7687470368810302,-0.012425800851893045,0.084,0.396,0.008571428571428572,0.7,0.7065809558702578,0.08730036091891251,0.9640907444778923,0.07467310717622659,0.96993631091303,500,-0.025468341361991137,-5.819896643296055e-07,True
original,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,fresh_context_deletion,R3a fresh-context deletion,0.7,0.09597502619342342,0.7065809558702578,0.0,0.102,0.0,0.0,0.7,0.7065809558702578,0.08730036091891251,0.9640907444778923,0.08730036091891251,0.9640907444778923,500,0.0,0.0,True
original,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,ordinary_strong_reset,R0 ordinary reset,0.666,0.10693740521256323,0.663587758265818,0.010962379019139799,0.106,0.382,0.045714285714285714,0.7,0.7065809558702578,0.08730036091891251,0.9640907444778923,0.017958292746717595,0.9939040095759486,500,-0.015513646557275747,0.0378522251596021,False
