table_name,model,model_key,dataset,dataset_key,condition_or_operation,metric,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,informative,notes
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Fresh deletion,clean_context_like_loose,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,p_wrong,0.08780586547162156,0.0665086982377816,0.10980436993680015,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,p_correct,0.30951541075061856,0.2728990100447676,0.34656765610226226,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,accuracy,0.308,0.268,0.35,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,hysteresis_gap,-0.0029394366491072433,-0.007450175196950997,0.0011625258841841308,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,entropy,0.39047791442135166,0.35206056302925076,0.4290621155930877,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,max_probability,0.847683500465852,0.8304915982441408,0.8641838210508804,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,restoration_ratio,1.0044590195413954,0.9982385645608629,1.0113940191638708,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,clean_context_like_strict,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,clean_context_like_main,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R3 Context truncation,clean_context_like_loose,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,p_wrong,0.09535092574687157,0.07551760413435347,0.11658050461924539,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,p_correct,0.3000153492733246,0.26641601901976125,0.3343856182066495,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,accuracy,0.302,0.262,0.342,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,hysteresis_gap,0.004605623626142758,-0.0037665823993649514,0.013064078486550315,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,entropy,0.5798318485921252,0.5318226271473816,0.6278962542105667,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,max_probability,0.7769648908525142,0.7571916280476572,0.7970113953181586,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,restoration_ratio,0.9930134348173418,0.980492986505094,1.005848905436537,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,clean_context_like_strict,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,clean_context_like_main,0.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R4 Neutral summary,clean_context_like_loose,1.0,,,500,10000,12345,True,Deterministic aggregate classification; CI not bootstrapped
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,p_wrong,0.09145612213243691,0.06996146523974754,0.11460084519646029,500,10000,12345,True,
recovery_operations,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,R5 Factual reconstruction,p_correct,0.29945369426935897,0.26360658074324494,0.336102530608472,500,10000,12345,True,
