model_key,model,dataset,phase_index,phase,condition,n,mean_p_wrong,p_wrong_ci_low,p_wrong_ci_high,p_wrong_se,bootstrap_samples,bootstrap_seed
qwen25_7b,Qwen2.5-7B,mmlu_pro,2,medium pressure,medium_pressure,500,0.9521911947370693,0.9347843690504208,0.9677270223465062,0.008640831380781267,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,3,strong pressure,strong_pressure,500,0.9711700622579035,0.956637300861744,0.9837537301569075,0.006956075390895699,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,4,medium reset,medium_reset,500,0.3473849857521393,0.3097010238450766,0.385752086066035,0.019640467734759172,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,5,strong reset,strong_reset,500,0.3425486287853029,0.3028493825278026,0.3836187984593758,0.021032601033771844,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,6,clean probe,clean_context_probe,500,0.0806055196700934,0.060857692202623256,0.10232439527521481,0.010917695961589603,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,0,clean,clean_context,500,0.09597502619342342,0.07260151204943632,0.1207762703349592,0.012302258593318403,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,1,weak pressure,weak_pressure,500,0.1408118012898986,0.11361759064570616,0.17217052123366441,0.014702218657565923,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,2,medium pressure,medium_pressure,500,0.9033291232183546,0.8774454350134777,0.9253908752201178,0.012183800108999476,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,3,strong pressure,strong_pressure,500,0.9257920727049916,0.9036413971400894,0.9446723646060775,0.010545702042500205,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,4,medium reset,medium_reset,500,0.11891023840222618,0.09144691072209424,0.14753638044460868,0.013647879739107409,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,5,strong reset,strong_reset,500,0.10693740521256322,0.07981639821584788,0.13476401277488748,0.013714777065462596,2000,12345
qwen25_7b,Qwen2.5-7B,truthfulqa_mc,6,clean probe,clean_context_probe,500,0.09597502619342342,0.07260151204943632,0.1207762703349592,0.012302258593318403,2000,12345
