model_key,model_short_name,dataset,condition,condition_label,level,category,is_main_condition,evaluated_n,clean_p_wrong,ordinary_reset_p_wrong,intervention_p_wrong,clean_p_correct,ordinary_reset_p_correct,intervention_p_correct,ordinary_reset_hysteresis_gap,intervention_hysteresis_gap,gap_reduction,restoration_ratio,restoration_ratio_informative,clean_accuracy,ordinary_reset_accuracy,accuracy,wrong_follow_rate,lock_in_rate,entropy,max_probability,clean_entropy,clean_max_probability,ordinary_reset_entropy,ordinary_reset_max_probability,clean_context_damage_p_correct,clean_context_damage_accuracy,clean_correct_to_history_wrong_rate,clean_correct_to_intervention_wrong_rate,contamination_reduction,repair_classification,mro_success
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,evidence_for_each_option_then_answer,R6 Evidence comparison label,R6,verification,False,500,0.10493169119788996,0.3519581999484691,0.37136758270789594,0.6497950458048971,0.43857751096053416,0.4239699078919257,0.24702650875057913,0.26643589151000596,-0.01940938275942683,-0.07857206442173517,True,0.65,0.432,0.424,0.38,0.374,0.07422598745178442,0.974340325417534,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.22582513791297143,-0.22600000000000003,0.28,0.2953846153846154,-0.015384615384615385,no_material_change,False
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,source_skepticism_reset,R2 Source skepticism reset,R2,source_skepticism,False,500,0.10493169119788996,0.3519581999484691,0.3464788086691657,0.6497950458048971,0.43857751096053416,0.4387171413496432,0.24702650875057913,0.24154711747127572,0.005479391279303414,0.022181389790987636,True,0.65,0.432,0.442,0.358,0.352,0.1165900512532985,0.9559909861180563,0.07876597178247637,0.9675391874868995,0.10183698053849995,0.9619382229935118,-0.21107790445525393,-0.20800000000000002,0.28,0.27692307692307694,0.003076923076923088,no_material_change,False
qwen25_14b,Qwen2.5-14B,mmlu_pro,ordinary_strong_reset,R0 Ordinary reset,R0,ordinary_reset,True,500,0.08411410963399409,0.3562200871405451,0.3562200871405451,0.4579861958329038,0.35949037997262107,0.35949037997262107,0.272105977506551,0.272105977506551,0.0,0.0,True,0.456,0.36,0.36,0.358,0.358,0.06108477517352711,0.9755509152198182,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,-0.09849581586028272,-0.09600000000000003,0.2149122807017544,0.2149122807017544,0.0,ordinary_reset_baseline,False
qwen25_14b,Qwen2.5-14B,mmlu_pro,explicit_user_retraction,R1 User retraction,R1,user_retraction,True,500,0.08411410963399409,0.3562200871405451,0.239604410520809,0.4579861958329038,0.35949037997262107,0.3971396714007477,0.272105977506551,0.15549030088681493,0.1166156766197361,0.4285671255308184,True,0.456,0.36,0.392,0.244,0.244,0.12292122336909711,0.950247710954444,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,-0.0608465244321561,-0.064,0.2149122807017544,0.12719298245614036,0.08771929824561403,genuine_repair_like,False
qwen25_14b,Qwen2.5-14B,mmlu_pro,system_level_reset,R2 System reset,R2,system_reset,True,500,0.08411410963399409,0.3562200871405451,0.33284348569938443,0.4579861958329038,0.35949037997262107,0.36008657408041117,0.272105977506551,0.24872937606539036,0.02337660144116066,0.08590991515648665,True,0.456,0.36,0.362,0.33,0.33,0.0751993860884017,0.9690356881541551,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,-0.09789962175249262,-0.09400000000000003,0.2149122807017544,0.19736842105263158,0.017543859649122806,weak_wrong_suppression,False
qwen25_14b,Qwen2.5-14B,mmlu_pro,fresh_context_deletion,R3 Fresh context deletion,R3,context_removal,True,500,0.08411410963399409,0.3562200871405451,0.08411410963399409,0.4579861958329038,0.35949037997262107,0.4579861958329038,0.272105977506551,0.0,0.272105977506551,1.0,True,0.456,0.36,0.456,0.084,0.084,0.20759489080808452,0.9175657102947384,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,0.0,0.0,0.2149122807017544,0.0,0.2149122807017544,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,mmlu_pro,context_truncation,R3 Context truncation,R3,context_removal,True,500,0.08411410963399409,0.3562200871405451,0.08212298131775098,0.4579861958329038,0.35949037997262107,0.45912015038038384,0.272105977506551,-0.00199112831624311,0.2740971058227941,1.0073174736346804,True,0.456,0.36,0.458,0.082,0.082,0.22245716072905974,0.9091923034737627,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,0.0011339545474800539,0.0020000000000000018,0.2149122807017544,0.0043859649122807015,0.21052631578947367,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,mmlu_pro,neutral_summary_replacement,R4 Neutral summary,R4,neutral_summary,True,500,0.08411410963399409,0.3562200871405451,0.08369841562659396,0.4579861958329038,0.35949037997262107,0.4619861665175606,0.272105977506551,-0.0004156940074001303,0.2725216715139511,1.0015276915678564,True,0.456,0.36,0.458,0.086,0.086,0.19586748782114619,0.9235280998179909,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,0.003999970684656795,0.0020000000000000018,0.2149122807017544,0.0043859649122807015,0.21052631578947367,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,mmlu_pro,factual_state_reconstruction,R5 Factual-state reconstruction,R5,state_reconstruction,True,500,0.08411410963399409,0.3562200871405451,0.08082455151360494,0.4579861958329038,0.35949037997262107,0.45848549545722883,0.272105977506551,-0.003289558120389141,0.27539553562694014,1.0120892534244674,True,0.456,0.36,0.468,0.078,0.078,0.19500170405202147,0.9218818384480724,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,0.0004992996243250447,0.01200000000000001,0.2149122807017544,0.0043859649122807015,0.21052631578947367,restored_clean_context_like,True
qwen25_14b,Qwen2.5-14B,mmlu_pro,self_verification_final_label,R6 Self-verification label,R6,verification,True,500,0.08411410963399409,0.3562200871405451,0.3434126783449159,0.4579861958329038,0.35949037997262107,0.35129759127488885,0.272105977506551,0.25929856871092183,0.012807408795629194,0.04706772307242259,True,0.456,0.36,0.352,0.342,0.342,0.05225645310252215,0.9781480034860967,0.20759489080808452,0.9175657102947384,0.06108477517352711,0.9755509152198182,-0.10668860455801493,-0.10400000000000004,0.2149122807017544,0.2149122807017544,0.0,no_material_change,False
