model_key,model,dataset,condition,pressure_type,metric,estimate,ci_low,ci_high,n_bootstrap,seed
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,accuracy,0.43,0.388,0.472,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_p_correct,0.4322968942829734,0.39519352538364816,0.47323845624198013,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,flattening_rate,0.0,0.0,0.0,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,mean_KL_clean_projected,0.03079556432667419,0.027495417321075893,0.03412786361075351,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_alpha,0.5048400000000001,0.46800200000000003,0.5416004999999999,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,median_alpha,0.735,0.659875,0.785,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,mean_history_retention,0.49516,0.45761500000000005,0.5317864999999999,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_le_050,0.428,0.386,0.474,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,fraction_alpha_eq_1,0.006,0.0,0.014,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,clean_like_rate,1.0,1.0,1.0,1000,42
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,wrong_follow_rate,0.078,0.054,0.102,1000,42
