model_key,model,dataset,condition,pressure_type,n_items,R0_gap,ordinary_reset_wrong_follow,ordinary_reset_p_wrong,cctp_mean_alpha,cctp_median_alpha,cctp_p25_alpha,cctp_p75_alpha,mean_history_retention,fraction_alpha_0,fraction_alpha_le_025,fraction_alpha_le_050,fraction_alpha_eq_1,cctp_clean_like_rate,cctp_wrong_follow,cctp_p_wrong,cctp_accuracy,cctp_p_correct,cctp_flattening_rate,mean_KL_clean_projected,mean_entropy,mean_max_prob,implementation_guarantee_pass_rate
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_main,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.46465999999999996,0.63,0.0,0.83,0.5353399999999999,0.38,0.406,0.42,0.002,1.0,0.144,0.15852408854728867,0.552,0.5375501632917258,0.0,0.02130780921364001,0.19786246293487467,0.9385535774317524,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_strict,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,0.39308000000000004,0.0,0.0,0.84,0.6069199999999999,0.502,0.518,0.556,0.004,1.0,0.144,0.14264076381421312,0.552,0.5538360373348976,0.0,0.011493878061205557,0.1547120048949966,0.9491437275379204,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,cctp_tube_strict,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,0.49716,0.67,0.0,0.8625,0.5028400000000001,0.362,0.382,0.402,0.002,1.0,0.144,0.1538676674533127,0.552,0.5402733111412716,0.0,0.011651835256804126,0.17666949787201533,0.9441693315365334,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,fresh_context_deletion,correct_pressure,500,-0.010043319441817007,0.144,0.1464059743175674,,,,,,,,,,1.0,0.144,0.1464059743175674,0.552,0.5438035353275681,0.0,0.0,0.14295370091542636,0.9487154596002262,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,fresh_context_deletion,wrong_pressure,500,-0.010043319441817007,0.144,0.1464059743175674,,,,,,,,,,1.0,0.144,0.1464059743175674,0.552,0.5438035353275681,0.0,0.0,0.14295370091542636,0.9487154596002262,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,ordinary_reset,correct_pressure,500,-0.09606008789865146,0.052,0.05034588641891593,,,,,,,,,,0.538,0.052,0.05034588641891593,0.842,0.8434772995466258,0.034,3.303905630871734,0.030698469119056535,0.9904662042782053,1.0
gemma2_2b,Gemma-2-2B,truthfulqa_mc,ordinary_reset,wrong_pressure,500,0.31118819815388127,0.46,0.4575941724714487,,,,,,,,,,0.38,0.46,0.4575941724714487,0.338,0.3390258841390822,0.076,4.074105881554241,0.055825743322402685,0.9826878670178295,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_geometric_prob_min_alpha,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.48813999999999996,0.69,0.0,0.9,0.51186,0.402,0.42,0.444,0.004,1.0,0.078,0.07426510320037827,0.43,0.4322968942829734,0.0,0.030795564326674192,0.46486742820247295,0.8473225109986463,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_geometric_prob_min_alpha,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.5048400000000001,0.735,0.0,0.89,0.49516,0.376,0.402,0.428,0.006,1.0,0.078,0.08806887836985061,0.43,0.41318202545632915,0.0,0.030731023230308765,0.4664222177727573,0.8481464688773886,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_005,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.4967,0.71,0.0,0.89,0.5033,0.382,0.394,0.418,0.0,1.0,0.07,0.07378070720284736,0.446,0.43517063359078634,0.248,0.030446026722796376,0.5073926149875142,0.8292910370264374,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_005,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.51232,0.73,0.0,0.89,0.48767999999999995,0.366,0.374,0.394,0.0,1.0,0.092,0.09227691834773821,0.432,0.41015466473117285,0.278,0.030895193426814686,0.5122210217776452,0.8316348177680004,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_010,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.45489999999999997,0.63,0.0,0.85,0.5450999999999999,0.404,0.422,0.454,0.0,1.0,0.068,0.07185092325550847,0.456,0.44790417288574746,0.292,0.05912879460909749,0.5152750175635332,0.8247526157896131,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_kl_projection_tau_010,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.46996000000000004,0.675,0.0,0.84,0.53004,0.378,0.406,0.434,0.0,1.0,0.096,0.10168323995063404,0.432,0.4086409525622919,0.306,0.06070155293940009,0.5226714771287753,0.8280332928416899,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.48813999999999996,0.69,0.0,0.9,0.51186,0.402,0.42,0.444,0.004,1.0,0.078,0.07426510320037827,0.43,0.4322968942829734,0.0,0.03079556432667419,0.464867428202473,0.8473225109986464,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_logit_linear_min_alpha,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.5048400000000001,0.735,0.0,0.89,0.49516,0.376,0.402,0.428,0.006,1.0,0.078,0.08806887836985061,0.43,0.41318202545632915,0.0,0.030731023230308768,0.4664222177727573,0.8481464688773885,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_prob_linear_min_alpha,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.44767999999999997,0.425,0.0,0.94,0.55232,0.402,0.476,0.516,0.004,1.0,0.078,0.07431345414652049,0.43,0.43612504603870045,0.0,0.03431004292672127,0.4591467575604183,0.8465707090374991,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_prob_linear_min_alpha,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.46794,0.5,0.0,0.94,0.53206,0.376,0.452,0.506,0.004,1.0,0.078,0.0911813533340142,0.43,0.4130654754057655,0.0,0.03372315350092598,0.46019473332893107,0.8468357183130075,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_loose,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.45056000000000007,0.605,0.0,0.85,0.54944,0.434,0.446,0.476,0.004,1.0,0.078,0.07261675609736314,0.43,0.44302272825313255,0.246,0.05728044636287744,0.45822664919747763,0.8458734513660344,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_loose,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.46724000000000004,0.67,0.0,0.85,0.53276,0.412,0.424,0.444,0.006,1.0,0.078,0.09389967129878177,0.43,0.4134875298160662,0.284,0.05700877184605128,0.45901477165594146,0.8481089442350447,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_main,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.48813999999999996,0.69,0.0,0.9,0.51186,0.402,0.42,0.444,0.004,1.0,0.078,0.07426510320037827,0.43,0.4322968942829734,0.0,0.03079556432667419,0.464867428202473,0.8473225109986464,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_main,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.5048400000000001,0.735,0.0,0.89,0.49516,0.376,0.402,0.428,0.006,1.0,0.078,0.08806887836985061,0.43,0.41318202545632915,0.0,0.030731023230308768,0.4664222177727573,0.8481464688773885,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_strict,correct_pressure,500,-0.03373755724579978,0.044,0.04415932754301849,0.52466,0.77,0.0,0.93,0.47534,0.382,0.392,0.414,0.01,1.0,0.078,0.07543314342348222,0.43,0.4250049696627377,0.0,0.016154826698749087,0.468845073220037,0.8458875977455835,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,cctp_tube_strict,wrong_pressure,500,0.18258248379627157,0.258,0.26047936858508985,0.54184,0.79,0.0,0.93,0.45816,0.362,0.372,0.394,0.01,1.0,0.078,0.08454786303663732,0.43,0.41275327032794423,0.0,0.016050129709932078,0.46960587684386285,0.846330411666649,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,fresh_context_deletion,correct_pressure,500,-0.005524840563688377,0.078,0.07789688478881829,,,,,,,,,,1.0,0.078,0.07789688478881829,0.43,0.410389294772807,0.0,0.0,0.4937408276932899,0.832531775385452,1.0
gemma2_9b,Gemma-2-9B,mmlu_pro,fresh_context_deletion,wrong_pressure,500,-0.005524840563688377,0.078,0.07789688478881829,,,,,,,,,,1.0,0.078,0.07789688478881829,0.43,0.410389294772807,0.0,0.0,0.4937408276932899,0.832531775385452,1.0
