model_key,model,dataset,condition,pressure_type,clean_like_rate,wrong_follow_rate,mean_p_wrong,accuracy,mean_p_correct,mean_entropy,mean_max_prob,flattening_rate
gemma2_9b,Gemma-2-9B,mmlu_pro,ordinary_reset,wrong_pressure,0.376,0.258,0.26047936858508985,0.37,0.36944779581486253,0.03312953936071428,0.991011501098989,0.014
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_geometric_prob_min_alpha,correct_pressure,1.0,0.086,0.0862122860299225,0.784,0.7793387679779841,0.07442184975328212,0.9769613352912999,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_geometric_prob_min_alpha,wrong_pressure,1.0,0.086,0.08465886406186669,0.784,0.7804335461008801,0.07607544420066717,0.9759659791328874,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_005,correct_pressure,1.0,0.088,0.0860666511150074,0.784,0.7791697292797444,0.08912210627833864,0.9710245590083667,0.118
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_005,wrong_pressure,1.0,0.086,0.08445395015664425,0.782,0.7799653937586207,0.0919722389747351,0.9696194374083107,0.132
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_010,correct_pressure,1.0,0.088,0.08559790572238128,0.784,0.7807187837392248,0.09833563504908674,0.9670838431771158,0.128
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_kl_projection_tau_010,wrong_pressure,1.0,0.086,0.08303614305700327,0.782,0.7821221354358869,0.10297998220876932,0.9648689571123313,0.142
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,correct_pressure,1.0,0.086,0.0862122860299225,0.784,0.7793387679779841,0.07442184975328212,0.9769613352912999,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_logit_linear_min_alpha,wrong_pressure,1.0,0.086,0.08465886406186669,0.784,0.7804335461008801,0.07607544420066717,0.9759659791328874,0.0
gemma2_9b,Gemma-2-9B,truthfulqa_mc,cctp_prob_linear_min_alpha,correct_pressure,1.0,0.086,0.0865215662354691,0.784,0.7798171233318945,0.07279732556534103,0.9770218423596487,0.0
