tube,model_key,model,dataset,pressure_type,mean_alpha,median_alpha,fraction_alpha_le_050,fraction_alpha_eq_1,clean_like_rate,wrong_follow_rate,mean_p_wrong
main,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.47644,0.555,0.484,0.02,1.0,0.084,0.08024270626280114
main,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.4713,0.56,0.486,0.024,1.0,0.084,0.09329069658854004
loose,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.44764,0.445,0.51,0.014,1.0,0.084,0.07855011259079472
loose,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.44110000000000005,0.47,0.514,0.014,1.0,0.084,0.09925508907544005
main,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.47644,0.555,0.484,0.02,1.0,0.084,0.08024270626280114
main,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.4713,0.56,0.486,0.024,1.0,0.084,0.09329069658854004
strict,qwen25_14b,Qwen2.5-14B,mmlu_pro,correct_pressure,0.50388,0.655,0.46,0.052,1.0,0.084,0.081609557611628
strict,qwen25_14b,Qwen2.5-14B,mmlu_pro,wrong_pressure,0.50006,0.615,0.46,0.048,1.0,0.084,0.08962158328726105
main,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.18656,0.0,0.798,0.01,1.0,0.078,0.07560959538495521
main,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.19816000000000003,0.0,0.784,0.008,1.0,0.078,0.0775236500740833
loose,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.17474,0.0,0.806,0.002,1.0,0.078,0.07533195289366479
loose,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.18624000000000002,0.0,0.788,0.0,1.0,0.078,0.07828311097864114
main,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.18656,0.0,0.798,0.01,1.0,0.078,0.07560959538495521
main,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.19816000000000003,0.0,0.784,0.008,1.0,0.078,0.0775236500740833
strict,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,correct_pressure,0.19978,0.0,0.784,0.024,1.0,0.078,0.07586038230039754
strict,qwen25_14b,Qwen2.5-14B,truthfulqa_mc,wrong_pressure,0.21231999999999998,0.0,0.77,0.026,1.0,0.078,0.077014428395832
main,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.67844,0.83,0.224,0.018,1.0,0.082,0.08777046757574464
main,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.7183999999999999,0.84,0.166,0.018,1.0,0.082,0.11813795837099694
loose,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.6254400000000001,0.78,0.262,0.018,1.0,0.082,0.08598524386046119
loose,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.67196,0.78,0.202,0.018,1.0,0.082,0.1337284767888284
main,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.67844,0.83,0.224,0.018,1.0,0.082,0.08777046757574464
main,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.7183999999999999,0.84,0.166,0.018,1.0,0.082,0.11813795837099694
strict,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,correct_pressure,0.7253999999999999,0.88,0.196,0.02,1.0,0.082,0.08915353068634874
strict,qwen25_15b,Qwen2.5-1.5B,mmlu_pro,wrong_pressure,0.7631600000000001,0.89,0.15,0.018,1.0,0.082,0.10881510745079427
main,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.38351999999999997,0.21,0.564,0.006,1.0,0.162,0.16081438194785438
main,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.52728,0.63,0.376,0.006,1.0,0.162,0.18163668556445034
loose,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.33896,0.0,0.62,0.006,1.0,0.162,0.1594865774131093
loose,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.48596000000000006,0.58,0.43,0.006,1.0,0.162,0.19020017398437933
main,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.38351999999999997,0.21,0.564,0.006,1.0,0.162,0.16081438194785438
main,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.52728,0.63,0.376,0.006,1.0,0.162,0.18163668556445034
strict,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,correct_pressure,0.43028,0.4,0.52,0.008,1.0,0.162,0.1618601457984107
strict,qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,wrong_pressure,0.5743199999999999,0.685,0.344,0.006,1.0,0.162,0.17549950243058124
main,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5255799999999999,0.71,0.402,0.014,1.0,0.084,0.07748434651452477
main,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5500200000000001,0.725,0.372,0.014,1.0,0.084,0.09078610891338748
loose,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.49119999999999997,0.64,0.444,0.01,1.0,0.084,0.07588302185677287
loose,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.51302,0.65,0.416,0.01,1.0,0.084,0.09726725065408764
main,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5255799999999999,0.71,0.402,0.014,1.0,0.084,0.07748434651452477
main,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5500200000000001,0.725,0.372,0.014,1.0,0.084,0.09078610891338748
strict,qwen25_7b,Qwen2.5-7B,mmlu_pro,correct_pressure,0.5592999999999999,0.78,0.386,0.038,1.0,0.084,0.07862558013703466
strict,qwen25_7b,Qwen2.5-7B,mmlu_pro,wrong_pressure,0.5832200000000001,0.79,0.35,0.036,1.0,0.084,0.086999331626373
main,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.27536,0.0,0.68,0.014,1.0,0.102,0.09627258293344265
main,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.27191999999999994,0.0,0.698,0.016,1.0,0.102,0.0979295449849944
loose,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.25822,0.0,0.692,0.006,1.0,0.102,0.09642382524567537
loose,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.25378,0.0,0.706,0.008,1.0,0.102,0.09849702400983795
main,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.27536,0.0,0.68,0.014,1.0,0.102,0.09627258293344265
main,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.27191999999999994,0.0,0.698,0.016,1.0,0.102,0.0979295449849944
strict,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,correct_pressure,0.29094,0.0,0.67,0.024,1.0,0.102,0.09621505720880726
strict,qwen25_7b,Qwen2.5-7B,truthfulqa_mc,wrong_pressure,0.28953999999999996,0.0,0.684,0.024,1.0,0.102,0.09718419511071115
