model_key,model,dataset,condition,condition_label,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,hysteresis_gap_ci_low,hysteresis_gap_ci_high,positive_hysteresis_rate,wrong_following_rate,conditional_lock_in_rate,conditional_lock_in_n,n_items
llama31_8b,Llama3.1-8B,truthfulqa_mc,clean_no_mention,Clean reset,0.1259408007791888,0.13945591217660125,0.013515111397412294,0.00670630047735233,0.019812812032178672,0.776,0.142,,0,500
llama31_8b,Llama3.1-8B,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.1259408007791888,0.2083185237297327,0.08237772295054367,0.058665101302161765,0.10670164286102966,0.812,0.234,,0,500
llama31_8b,Llama3.1-8B,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.1259408007791888,0.1757219920465938,0.04978119126740489,0.026961070579344045,0.07467323554390838,0.748,0.182,,0,500
llama31_8b,Llama3.1-8B,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.1259408007791888,0.1418378612274622,0.01589706044827323,-0.0071942116763106904,0.03931727617163574,0.748,0.14,,0,500
llama31_8b,Llama3.1-8B,truthfulqa_mc,user_pressure,User pressure,0.1259408007791888,0.06833180806893964,-0.05760899271024917,-0.07893017299917801,-0.03580945710408819,0.556,0.05,0.05145413870246085,447,500
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,clean_no_mention,Clean reset,0.09074530212072861,0.0873466655616119,-0.0033986365591167143,-0.009185204887231908,0.001617312628300854,0.434,0.084,,0,500
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.09074530212072861,0.14582464296850906,0.055079340847780475,0.029649304377913004,0.08327758639198195,0.736,0.146,,0,500
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,neutral_wrong_mention,Neutral mention,0.09074530212072861,0.4146083790581616,0.3238630769374328,0.2869650694022417,0.3599956019436373,0.94,0.438,,0,500
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,quoted_false_claim,Quoted false claim,0.09074530212072861,0.19179932376152142,0.1010540216407928,0.07198312634615135,0.13092409766266136,0.828,0.192,,0,500
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,user_pressure,User pressure,0.09074530212072861,0.7499567323059987,0.6592114301852698,0.6195712735166387,0.7005062439179659,0.936,0.756,0.8199566160520607,461,500
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,clean_no_mention,Clean reset,0.10493169119788988,0.1067407308498182,0.001809039651928323,-0.0063311178740358244,0.010120811215052178,0.356,0.104,,0,500
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.10493169119788988,0.19643590620342738,0.09150421500553753,0.06247565253460008,0.12015173059593973,0.856,0.196,,0,500
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.10493169119788988,0.26824192840950645,0.16331023721161653,0.12943135668440958,0.19678322401413986,0.892,0.266,,0,500
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.10493169119788988,0.09725379206986463,-0.007677899128025199,-0.03297523353653876,0.016209560546293356,0.814,0.09,,0,500
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,user_pressure,User pressure,0.10493169119788988,0.3519581999484689,0.247026508750579,0.2042771702924258,0.28927193677676727,0.886,0.368,0.4430992736077482,413,500
qwen25_14b,Qwen2.5-14B,mmlu_pro,clean_no_mention,Clean reset,0.08411410963399399,0.08296323907973648,-0.0011508705542574958,-0.007184751624498056,0.0051958088319884145,0.506,0.084,,0,500
qwen25_14b,Qwen2.5-14B,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.08411410963399399,0.04316178131379641,-0.04095232832019755,-0.06376047744283944,-0.02001283725233807,0.532,0.044,,0,500
qwen25_14b,Qwen2.5-14B,mmlu_pro,neutral_wrong_mention,Neutral mention,0.08411410963399399,0.22095161828907436,0.13683750865508032,0.10890846081576956,0.1649226578952158,0.844,0.222,,0,500
qwen25_14b,Qwen2.5-14B,mmlu_pro,quoted_false_claim,Quoted false claim,0.08411410963399399,0.08129948740230207,-0.002814622231691901,-0.02427024340350072,0.018096461938531847,0.69,0.082,,0,500
qwen25_14b,Qwen2.5-14B,mmlu_pro,user_pressure,User pressure,0.08411410963399399,0.35622008714054487,0.27210597750655086,0.23085785370189707,0.3110030031647909,0.71,0.358,0.37214137214137216,481,500
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,clean_no_mention,Clean reset,0.07600563166920174,0.07485677966449657,-0.0011488520047051737,-0.007674794038455287,0.005293898748971507,0.392,0.074,,0,500
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,explicit_false_wrong_mention,Explicit false mention,0.07600563166920174,0.061153614472301686,-0.01485201719690005,-0.036661325330576804,0.006210491639602007,0.532,0.062,,0,500
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,neutral_wrong_mention,Neutral mention,0.07600563166920174,0.09509938990075412,0.019093758231552373,-0.004739469127287903,0.04276054211804379,0.68,0.094,,0,500
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,quoted_false_claim,Quoted false claim,0.07600563166920174,0.05130217546660036,-0.024703456202601372,-0.04346588001385126,-0.005999743786263106,0.494,0.056,,0,500
qwen25_14b,Qwen2.5-14B,truthfulqa_mc,user_pressure,User pressure,0.07600563166920174,0.1127033046885947,0.036697673019392946,0.010436416547421912,0.06471658791040304,0.344,0.114,0.11727078891257996,469,500
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,clean_no_mention,Clean reset,0.09124088678329552,0.09154239271057095,0.0003015059272753966,-0.005524909764970246,0.006078017885143001,0.634,0.094,,0,500
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,explicit_false_wrong_mention,Explicit false mention,0.09124088678329552,0.25174523248582187,0.16050434570252617,0.1300889870249746,0.18930181901563783,0.846,0.266,,0,500
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,neutral_wrong_mention,Neutral mention,0.09124088678329552,0.3964200863542238,0.30517919957092804,0.27262808548954914,0.337144794575937,0.928,0.424,,0,500
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,quoted_false_claim,Quoted false claim,0.09124088678329552,0.2792863110698432,0.18804542428654744,0.15937060167514186,0.21540680336736936,0.874,0.304,,0,500
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,user_pressure,User pressure,0.09124088678329552,0.7255437898838969,0.634302903100601,0.5970233438381243,0.6687121996928868,0.924,0.752,0.8086021505376344,465,500
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,clean_no_mention,Clean reset,0.16554468419833393,0.15389900964497838,-0.011645674553355594,-0.02283392579282992,-0.0002780562651088971,0.634,0.154,,0,500
