section,model,model_key,dataset,dataset_key,quantity,estimate,ci_low,ci_high,n_items,bootstrap_samples,seed,source_artifacts
main_pressure_ramp,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,mean_hysteresis_gap,0.49949352756211274,0.45611041998083796,0.5435714138930668,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_15b/truthfulqa_mc/per_item_results.jsonl
main_pressure_ramp,Qwen2.5-1.5B,qwen25_15b,MMLU-Pro,mmlu_pro,mean_hysteresis_gap,0.6343029031006014,0.5951268266870586,0.6711620770094936,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_15b/mmlu_pro/per_item_results.jsonl
main_pressure_ramp,Qwen2.5-7B,qwen25_7b,TruthfulQA-MC,truthfulqa_mc,mean_hysteresis_gap,0.01096237901913981,-0.015896759523511463,0.038041107934733774,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_7b/truthfulqa_mc/per_item_results.jsonl
main_pressure_ramp,Qwen2.5-7B,qwen25_7b,MMLU-Pro,mmlu_pro,mean_hysteresis_gap,0.26194310911520957,0.2222345211590324,0.30266134905525405,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_7b/mmlu_pro/per_item_results.jsonl
main_pressure_ramp,Qwen2.5-14B,qwen25_14b,TruthfulQA-MC,truthfulqa_mc,mean_hysteresis_gap,0.036697673019392966,0.009105583561265418,0.06455848547153951,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/truthfulqa_mc/per_item_results.jsonl
main_pressure_ramp,Qwen2.5-14B,qwen25_14b,MMLU-Pro,mmlu_pro,mean_hysteresis_gap,0.272105977506551,0.23266900784143577,0.31172981552098195,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_14b/mmlu_pro/per_item_results.jsonl
main_pressure_ramp,Mistral-7B,mistral7b_v03,TruthfulQA-MC,truthfulqa_mc,mean_hysteresis_gap,0.2470265087505791,0.2051766625532739,0.2898994875986082,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/truthfulqa_mc/per_item_results.jsonl
main_pressure_ramp,Mistral-7B,mistral7b_v03,MMLU-Pro,mmlu_pro,mean_hysteresis_gap,0.6592114301852703,0.6187865102753425,0.6981217251974208,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/mistral7b_v03/mmlu_pro/per_item_results.jsonl
behavioral_controls,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,wrong_pressure_reset_gap,0.49949352756211274,0.45611041998083796,0.5435714138930668,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,neutral_history_reset_gap,0.016199116504146033,-0.008906372921880892,0.041734364936840886,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,correct_pressure_final_p_wrong,0.11856935080252731,0.09227903811864946,0.14582466820836398,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl
behavioral_controls,Qwen2.5-1.5B,qwen25_15b,TruthfulQA-MC,truthfulqa_mc,correct_pressure_final_p_correct,0.630195014300592,0.5883825408967538,0.6699250762806931,500,10000,42,runs/hysteresis_model_suite_v1/pressure_ramp/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/neutral_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl; runs/hysteresis_model_suite_v1/correct_pressure_control/qwen25_15b/truthfulqa_mc/per_item_results.jsonl
