model,dataset,condition,n_items,clean_pw_mean,condition_pw_mean,condition_pc_mean,hysteresis_gap_mean,accuracy,wrong_answer_following_rate,history_contamination,contamination_given_clean_correct,entropy_mean,max_probability_mean,restoration_ratio,clean_context_like_recovery
Qwen2.5-1.5B,MMLU-Pro,reset_only,500,0.09124088678329587,0.09154239271057132,0.27218972299138305,0.0003015059272754543,0.284,0.094,0.016,0.058394160583941604,0.6868125559900166,0.7548780241968154,0.9995246656986724,True
Qwen2.5-1.5B,MMLU-Pro,fresh_context,500,0.09124088678329587,0.09124088678329587,0.27351936797149473,0.0,0.274,0.084,0.0,0.0,0.6463876681116963,0.7677177392674662,1.0,True
Qwen2.5-14B,MMLU-Pro,full_history_reset,500,0.08411410963399409,0.3562200871405451,0.359490379972621,0.27210597750655097,0.36,0.358,0.14,0.30701754385964913,0.0610847751735271,0.9755509152198181,0.0,False
Qwen2.5-14B,MMLU-Pro,remove_strong_only,500,0.08411410963399409,0.2955111447682355,0.37757487488655944,0.21139703513424138,0.374,0.302,0.128,0.2807017543859649,0.051444090331709054,0.9804306075964775,0.22310771313668776,False
Qwen2.5-14B,MMLU-Pro,remove_medium_strong,500,0.08411410963399409,0.20128285775170351,0.4117486106107113,0.11716874811770943,0.412,0.204,0.106,0.2324561403508772,0.05737867066024194,0.9761914120290544,0.5694003153058679,False
Qwen2.5-14B,MMLU-Pro,remove_all_pressure,500,0.08411410963399409,0.07525258356252848,0.45810943840467144,-0.008861526071465602,0.458,0.072,0.042,0.09210526315789473,0.07340136168565456,0.9710592626375181,1.0325664513241068,True
Qwen2.5-14B,MMLU-Pro,reset_only,500,0.08411410963399409,0.0829632390797366,0.4572087508354429,-0.0011508705542574884,0.446,0.084,0.022,0.04824561403508772,0.21001696541876957,0.9187787938482429,1.0042294938347314,True
Qwen2.5-14B,MMLU-Pro,fresh_context,500,0.08411410963399409,0.08411410963399409,0.4579861958329038,0.0,0.456,0.084,0.0,0.0,0.20759489080808455,0.9175657102947384,1.0,True
Mistral-7B-v0.3,TruthfulQA-MC,full_history_reset,500,0.10493169119788995,0.3519581999484691,0.43857751096053416,0.24702650875057913,0.432,0.368,0.26,0.4,0.10183698053849995,0.9619382229935118,0.0,False
Mistral-7B-v0.3,TruthfulQA-MC,remove_strong_only,500,0.10493169119788995,0.31109537884750804,0.4889217322247241,0.20616368764961807,0.482,0.324,0.212,0.3261538461538461,0.10925047262029733,0.9578865606920243,0.16541876945773443,False
Mistral-7B-v0.3,TruthfulQA-MC,remove_medium_strong,500,0.10493169119788995,0.19840557534659684,0.5994276285850942,0.09347388414870686,0.604,0.204,0.112,0.1723076923076923,0.07408785727103986,0.971245419253868,0.621603832635279,False
Mistral-7B-v0.3,TruthfulQA-MC,remove_all_pressure,500,0.10493169119788995,0.11117776119345908,0.6119184238275791,0.006246069995569141,0.612,0.11,0.066,0.10153846153846154,0.0472608383335098,0.9810095195011802,0.9747149808854088,False
Mistral-7B-v0.3,TruthfulQA-MC,reset_only,500,0.10493169119788995,0.10674073084981828,0.653408274780247,0.0018090396519283222,0.656,0.104,0.022,0.033846153846153845,0.08665282490637403,0.9648192463013097,0.9926767387796631,True
Mistral-7B-v0.3,TruthfulQA-MC,fresh_context,500,0.10493169119788995,0.10493169119788995,0.6497950458048972,0.0,0.65,0.102,0.0,0.0,0.07876597178247637,0.9675391874868995,1.0,True
Mistral-7B-v0.3,MMLU-Pro,full_history_reset,500,0.09074530212072882,0.749956732305999,0.09084874490613813,0.6592114301852703,0.09,0.756,0.262,0.803680981595092,0.0805316768147511,0.9709155581073731,0.0,False
Mistral-7B-v0.3,MMLU-Pro,remove_strong_only,500,0.09074530212072882,0.6995528899037913,0.10931031858753243,0.6088075877830624,0.104,0.708,0.254,0.7791411042944786,0.0907433750385002,0.9678826050942702,0.07646081377569855,False
Mistral-7B-v0.3,MMLU-Pro,remove_medium_strong,500,0.09074530212072882,0.5343534322665879,0.1853175554748291,0.44360813014585915,0.188,0.536,0.19,0.5828220858895705,0.07985958361450882,0.9718621777598764,0.32706244183116817,False
Mistral-7B-v0.3,MMLU-Pro,remove_all_pressure,500,0.09074530212072882,0.07673592174083987,0.3246256817420762,-0.01400938037988892,0.324,0.074,0.046,0.1411042944785276,0.09099973257429793,0.966039868767683,1.0212517255290183,True
Mistral-7B-v0.3,MMLU-Pro,reset_only,500,0.09074530212072882,0.08734666556161211,0.30936222449505874,-0.0033986365591167065,0.316,0.084,0.034,0.10429447852760736,0.3907593204517879,0.8508899594069766,1.0051556092681242,True
Mistral-7B-v0.3,MMLU-Pro,fresh_context,500,0.09074530212072882,0.09074530212072882,0.3177529340772985,0.0,0.326,0.084,0.0,0.0,0.40338259323253545,0.8437698901385688,1.0,True
